x,y,z,t
-1.208,0.586,1.235,61.21
-1.126,0.51,1.226,61.4
-1.007,0.42,1.219,61.62
-0.915,0.344,1.206,61.81
-0.829,0.268,1.184,62.0
-0.742,0.172,1.17,62.19
-0.613,0.031,1.18,62.42
-0.535,-0.096,1.183,62.58
-0.454,-0.232,1.205,62.78
-0.374,-0.325,1.212,62.95
-0.292,-0.422,1.222,63.12
-0.216,-0.514,1.22,63.29
-0.142,-0.601,1.213,63.45
-0.084,-0.7,1.205,63.63
-0.01,-0.826,1.215,63.84
0.023,-0.907,1.242,64.08
0.043,-0.897,1.221,64.35
0.055,-0.809,1.211,64.67
0.058,-0.731,1.204,64.94
0.049,-0.671,1.198,65.17
0.05,-0.606,1.191,65.43
0.073,-0.574,1.185,65.71
0.092,-0.573,1.191,65.87
0.116,-0.593,1.191,66.03
0.14,-0.611,1.193,66.2
0.182,-0.62,1.189,66.4
0.218,-0.638,1.181,66.63
0.24,-0.614,1.182,66.88
0.254,-0.526,1.161,67.16
0.278,-0.505,1.175,67.32
0.34,-0.493,1.18,67.55
0.414,-0.51,1.181,67.75
0.498,-0.549,1.169,67.98
0.58,-0.598,1.157,68.14
0.717,-0.668,1.147,68.34
0.866,-0.771,1.146,68.58
0.975,-0.874,1.126,68.75
1.109,-0.998,1.127,68.95
1.253,-1.128,1.109,69.17
1.358,-1.292,1.112,69.36
1.454,-1.44,1.098,69.57
1.578,-1.578,1.09,69.76
1.702,-1.746,1.092,69.98
1.794,-1.887,1.08,70.14
1.883,-2.096,1.071,70.35
1.957,-2.258,1.064,70.51
2.04,-2.417,1.041,70.68
2.131,-2.576,1.029,70.86
2.23,-2.733,1.016,71.03
2.321,-2.895,0.999,71.2
2.405,-3.057,0.982,71.37
2.524,-3.269,0.962,71.59
2.604,-3.494,0.951,71.79
2.655,-3.661,0.971,72.02
2.716,-3.773,0.962,72.26
2.767,-3.837,0.963,72.42
2.82,-3.901,0.964,72.59
2.918,-3.982,0.956,72.79
3.007,-4.051,0.956,72.97
3.11,-4.154,0.957,73.21
3.209,-4.243,0.96,73.42
3.293,-4.312,0.957,73.61
3.354,-4.366,0.954,73.76
3.468,-4.455,0.95,73.97
3.562,-4.528,0.947,74.14
3.657,-4.608,0.946,74.32
3.743,-4.689,0.944,74.49
3.828,-4.772,0.942,74.66
3.915,-4.858,0.932,74.84
4.009,-4.94,0.925,75.02
4.122,-5.05,0.925,75.24
4.234,-5.165,0.92,75.45
4.312,-5.267,0.909,75.62
4.379,-5.379,0.909,75.79
4.449,-5.489,0.914,75.97
4.549,-5.609,0.908,76.19
4.631,-5.708,0.903,76.38
4.718,-5.841,0.904,76.59
4.793,-5.946,0.903,76.77
4.882,-6.072,0.907,77.02
4.968,-6.189,0.91,77.29
5.009,-6.236,0.906,77.46
5.075,-6.283,0.893,77.67
5.158,-6.34,0.889,77.84
5.251,-6.416,0.886,78.01
5.342,-6.516,0.881,78.18
5.411,-6.641,0.88,78.36
5.475,-6.777,0.871,78.52
5.561,-6.915,0.864,78.72
5.602,-7.009,0.849,78.94
5.678,-7.098,0.849,79.15
5.775,-7.178,0.838,79.37
5.855,-7.245,0.839,79.54
5.962,-7.33,0.833,79.75
6.081,-7.412,0.812,79.98
6.208,-7.517,0.809,80.18
6.355,-7.655,0.806,80.43
6.473,-7.774,0.801,80.64
6.558,-7.877,0.793,80.81
6.629,-7.986,0.806,81.01
6.699,-8.048,0.806,81.27
6.736,-8.064,0.803,81.48
6.788,-8.088,0.788,81.65
6.876,-8.153,0.783,81.85
6.972,-8.22,0.783,82.07
7.058,-8.286,0.775,82.24
7.155,-8.354,0.775,82.41
7.243,-8.43,0.777,82.58
7.353,-8.519,0.768,82.78
7.445,-8.591,0.766,82.95
7.544,-8.663,0.763,83.12
7.666,-8.762,0.752,83.34
7.767,-8.888,0.757,83.63
7.788,-8.897,0.76,83.97
7.793,-8.872,0.755,84.13
7.838,-8.851,0.748,84.3
7.917,-8.857,0.743,84.46
8.008,-8.868,0.74,84.63
8.102,-8.876,0.731,84.8
8.231,-8.897,0.724,85.03
8.348,-8.906,0.722,85.19
8.469,-8.938,0.724,85.37
8.604,-8.983,0.721,85.57
8.719,-9.004,0.716,85.74
8.865,-9.04,0.712,85.97
9.012,-9.073,0.711,86.17
